"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 22 20:32:43 BDT 2022","Sat Oct 22 20:33:18 BDT 2022","34614","Default Suite","Selenium_POM_TestNG","TestRunner","TestRunner","orderPlace","Place Order",""
"passed","Sat Oct 22 20:32:36 BDT 2022","Sat Oct 22 20:32:43 BDT 2022","7371","Default Suite","Selenium_POM_TestNG","TestRunner","TestRunner","do_Registration","User Registration",""
